video_file,video_hash,video_width,video_height,video_fps,total_video_frames,video_duration_sec,frame_idx,timestamp_ms,hand,wrist_x,wrist_y,thumb_cmc_x,thumb_cmc_y,thumb_mcp_x,thumb_mcp_y,thumb_ip_x,thumb_ip_y,thumb_tip_x,thumb_tip_y,index_mcp_x,index_mcp_y,index_pip_x,index_pip_y,index_dip_x,index_dip_y,index_tip_x,index_tip_y,middle_mcp_x,middle_mcp_y,middle_pip_x,middle_pip_y,middle_dip_x,middle_dip_y,middle_tip_x,middle_tip_y,ring_mcp_x,ring_mcp_y,ring_pip_x,ring_pip_y,ring_dip_x,ring_dip_y,ring_tip_x,ring_tip_y,pinky_mcp_x,pinky_mcp_y,pinky_pip_x,pinky_pip_y,pinky_dip_x,pinky_dip_y,pinky_tip_x,pinky_tip_y
video12.mp4,103cd4d0e833d7a701d09345f34a8ff9ccf5985e31a84ebc69b7e398305b8944,1280,720,12.12,99,8.167,0,0,Right,0.492813,0.431856,0.432042,0.502407,0.389646,0.60414,0.350995,0.673171,0.315006,0.716281,0.445093,0.61538,0.432433,0.686696,0.434807,0.734526,0.43886,0.761338,0.497045,0.599232,0.501873,0.669575,0.507192,0.7263,0.515301,0.750755,0.539602,0.566595,0.564622,0.620466,0.579594,0.670324,0.591693,0.703658,0.57696,0.531138,0.614347,0.575789,0.640227,0.618988,0.660186,0.657409
video12.mp4,103cd4d0e833d7a701d09345f34a8ff9ccf5985e31a84ebc69b7e398305b8944,1280,720,12.12,99,8.167,1,83,Left,0.474398,0.447679,0.535759,0.473875,0.592711,0.535214,0.63242,0.583028,0.657844,0.64329,0.54378,0.560972,0.564657,0.676844,0.575296,0.744816,0.585529,0.772508,0.493166,0.562774,0.499658,0.650517,0.505412,0.700592,0.513191,0.716163,0.446464,0.554836,0.429765,0.622485,0.422856,0.656953,0.421859,0.673552,0.407286,0.533933,0.366844,0.595543,0.335155,0.615413,0.309446,0.619609
video12.mp4,103cd4d0e833d7a701d09345f34a8ff9ccf5985e31a84ebc69b7e398305b8944,1280,720,12.12,99,8.167,2,166,Left,0.48523,0.462037,0.541211,0.489185,0.593742,0.546171,0.634001,0.589678,0.658033,0.647405,0.559355,0.528699,0.598119,0.576741,0.622204,0.627507,0.643763,0.663745,0.509386,0.542294,0.514196,0.627904,0.517263,0.680965,0.521323,0.709207,0.4604,0.544903,0.444643,0.606632,0.438637,0.646377,0.437981,0.671074,0.4159,0.526109,0.37478,0.578437,0.343184,0.602537,0.3171,0.614317
video12.mp4,103cd4d0e833d7a701d09345f34a8ff9ccf5985e31a84ebc69b7e398305b8944,1280,720,12.12,99,8.167,3,250,Right,0.48216,0.451691,0.541819,0.487432,0.593476,0.553822,0.631191,0.607306,0.653516,0.669214,0.559426,0.515198,0.603219,0.560282,0.628316,0.610722,0.648196,0.651703,0.514334,0.532344,0.522345,0.616029,0.528815,0.684995,0.532072,0.731325,0.464705,0.541566,0.445827,0.600918,0.439126,0.648117,0.434913,0.677856,0.415878,0.535642,0.37197,0.579709,0.342133,0.601828,0.315802,0.613823
video12.mp4,103cd4d0e833d7a701d09345f34a8ff9ccf5985e31a84ebc69b7e398305b8944,1280,720,12.12,99,8.167,4,333,Right,0.47803,0.453915,0.472697,0.542527,0.489619,0.644233,0.513418,0.716852,0.536315,0.759985,0.482484,0.580756,0.47331,0.652364,0.471524,0.722747,0.471112,0.778658,0.494095,0.552828,0.499482,0.65098,0.507568,0.739827,0.506754,0.796552,0.50128,0.526156,0.508701,0.615206,0.519867,0.708049,0.524204,0.781338,0.503455,0.49462,0.483241,0.548077,0.466472,0.594344,0.44493,0.631896
video12.mp4,103cd4d0e833d7a701d09345f34a8ff9ccf5985e31a84ebc69b7e398305b8944,1280,720,12.12,99,8.167,5,416,Right,0.474889,0.442341,0.479671,0.526844,0.481675,0.622979,0.476864,0.706609,0.464124,0.750876,0.477558,0.581167,0.466982,0.677833,0.471224,0.7495,0.473137,0.793958,0.487798,0.547823,0.492789,0.609944,0.50204,0.696312,0.508759,0.754449,0.491184,0.52398,0.501497,0.578136,0.517552,0.660435,0.530607,0.720127,0.48956,0.514277,0.490047,0.574817,0.493786,0.627821,0.501753,0.671264
video12.mp4,103cd4d0e833d7a701d09345f34a8ff9ccf5985e31a84ebc69b7e398305b8944,1280,720,12.12,99,8.167,6,500,Right,0.471915,0.442992,0.489644,0.5286,0.498403,0.624844,0.4892,0.704598,0.470358,0.749759,0.487466,0.576913,0.473114,0.67926,0.475072,0.744074,0.476733,0.781804,0.482951,0.55179,0.48284,0.62016,0.492181,0.705769,0.499386,0.766075,0.472269,0.535375,0.471585,0.589935,0.485636,0.669174,0.498085,0.722816,0.456795,0.52937,0.444543,0.58464,0.447036,0.636178,0.45576,0.682256
video12.mp4,103cd4d0e833d7a701d09345f34a8ff9ccf5985e31a84ebc69b7e398305b8944,1280,720,12.12,99,8.167,7,583,Right,0.479984,0.446657,0.511268,0.5194,0.527327,0.623574,0.523652,0.710555,0.508118,0.754718,0.501672,0.569456,0.485073,0.665639,0.482399,0.738432,0.480371,0.782419,0.484737,0.546821,0.492113,0.616914,0.499198,0.718644,0.500755,0.785024,0.46072,0.532537,0.453788,0.61211,0.458432,0.717435,0.460145,0.786404,0.431443,0.53115,0.400654,0.605451,0.389062,0.676721,0.381058,0.735791
video12.mp4,103cd4d0e833d7a701d09345f34a8ff9ccf5985e31a84ebc69b7e398305b8944,1280,720,12.12,99,8.167,8,666,Right,0.478203,0.438042,0.509122,0.521652,0.51811,0.624443,0.506577,0.711107,0.485099,0.744385,0.501914,0.571743,0.495577,0.673886,0.494587,0.749214,0.492035,0.794982,0.48296,0.544345,0.492371,0.615796,0.495451,0.71097,0.495146,0.77318,0.457784,0.523624,0.44845,0.592621,0.445558,0.691123,0.444209,0.757931,0.428744,0.515862,0.399518,0.585974,0.385968,0.651004,0.377795,0.706925
video12.mp4,103cd4d0e833d7a701d09345f34a8ff9ccf5985e31a84ebc69b7e398305b8944,1280,720,12.12,99,8.167,9,750,Left,0.483644,0.432288,0.448469,0.513332,0.428397,0.62573,0.427583,0.699225,0.4274,0.71012,0.423419,0.523447,0.386645,0.565781,0.368172,0.605629,0.349957,0.628671,0.468484,0.509144,0.474574,0.601265,0.473882,0.683506,0.469943,0.717945,0.512722,0.505298,0.533544,0.609998,0.542606,0.69491,0.547983,0.737755,0.551272,0.511262,0.570272,0.604606,0.57422,0.673164,0.573769,0.71532
video12.mp4,103cd4d0e833d7a701d09345f34a8ff9ccf5985e31a84ebc69b7e398305b8944,1280,720,12.12,99,8.167,10,833,Right,0.50161,0.419379,0.483825,0.520988,0.469393,0.648908,0.456782,0.743143,0.44831,0.76365,0.456501,0.533758,0.428656,0.592379,0.415098,0.652656,0.403476,0.690298,0.48928,0.507651,0.505453,0.603717,0.50953,0.700314,0.51346,0.751856,0.519085,0.490225,0.544217,0.579951,0.556935,0.686389,0.573157,0.758176,0.544028,0.480199,0.561881,0.529131,0.574179,0.585644,0.587715,0.628257
video12.mp4,103cd4d0e833d7a701d09345f34a8ff9ccf5985e31a84ebc69b7e398305b8944,1280,720,12.12,99,8.167,11,916,Right,0.488778,0.405813,0.491127,0.5204,0.486083,0.668243,0.472471,0.78568,0.46105,0.792466,0.478448,0.555241,0.473588,0.65055,0.4687,0.733638,0.468392,0.778495,0.493139,0.514393,0.506808,0.590303,0.506589,0.700406,0.511769,0.758924,0.506125,0.480885,0.538525,0.557166,0.556689,0.662425,0.575495,0.733957,0.511531,0.462883,0.52869,0.527369,0.540427,0.601822,0.55145,0.671754
video12.mp4,103cd4d0e833d7a701d09345f34a8ff9ccf5985e31a84ebc69b7e398305b8944,1280,720,12.12,99,8.167,12,1000,Right,0.486035,0.426913,0.54965,0.471952,0.598505,0.548269,0.629756,0.606189,0.657142,0.648592,0.552818,0.527127,0.580378,0.587839,0.597864,0.64806,0.60864,0.696233,0.503039,0.521509,0.512164,0.612177,0.515647,0.706289,0.516838,0.777865,0.455323,0.519551,0.447743,0.602611,0.447761,0.695237,0.449927,0.770256,0.415431,0.518663,0.383441,0.59844,0.363992,0.661577,0.347465,0.719744
video12.mp4,103cd4d0e833d7a701d09345f34a8ff9ccf5985e31a84ebc69b7e398305b8944,1280,720,12.12,99,8.167,13,1083,Left,0.485848,0.431484,0.444731,0.501625,0.42092,0.591939,0.399352,0.671638,0.383444,0.740547,0.462608,0.552185,0.464863,0.620436,0.466188,0.678338,0.469235,0.728612,0.505408,0.537056,0.509073,0.62793,0.511554,0.717674,0.512147,0.781537,0.540346,0.520277,0.552621,0.59774,0.560093,0.690118,0.563905,0.765058,0.569927,0.501169,0.587476,0.55563,0.59674,0.615992,0.601154,0.672472
